,AC,Reserved,General,Female,Male
405,S21A20P4_parsed.csv,76,571,296,332
406,S21A32P47_parsed.csv,4,30,1,33
407,S21A32P39_parsed.csv,3,29,0,32
408,S21A9P13_parsed.csv,52,547,282,313
409,S21A1P10_parsed.csv,86,359,202,238
410,S21A13P21_parsed.csv,29,250,132,141
411,S21A27P11_parsed.csv,67,570,284,344
412,S21A1P5_parsed.csv,172,664,403,424
413,S21A31P11_parsed.csv,137,818,470,471
414,S21A24P7_parsed.csv,45,582,325,298
415,S21A12P12_parsed.csv,76,845,450,471
416,S21A26P5_parsed.csv,77,631,327,373
417,S21A21P5_parsed.csv,24,518,271,264
418,S21A32P9_parsed.csv,6,46,0,51
419,S21A17P3_parsed.csv,18,304,168,151
420,S21A20P23_parsed.csv,84,777,440,409
421,S21A2P3_parsed.csv,265,688,460,480
422,S21A1P9_parsed.csv,125,382,239,264
423,S21A30P8_parsed.csv,44,258,158,140
424,S21A20P13_parsed.csv,131,834,472,477
425,S21A11P16_parsed.csv,72,656,370,351
426,S21A13P15_parsed.csv,105,622,348,375
427,S21A16P19_parsed.csv,74,693,386,366
428,S21A32P50_parsed.csv,7,77,0,83
429,S21A28P16_parsed.csv,139,983,540,570
430,S21A22P1_parsed.csv,65,705,365,401
431,S21A14P16_parsed.csv,34,351,186,195
432,S21A12P8_parsed.csv,75,959,523,505
433,S21A19P6_parsed.csv,49,542,280,300
434,S21A32P10_parsed.csv,5,13,0,18
435,S21A1P8_parsed.csv,44,507,248,298
436,S21A28P4_parsed.csv,31,433,232,226
437,S21A27P1_parsed.csv,62,735,335,453
438,S21A8P9_parsed.csv,70,612,289,387
439,S21A16P5_parsed.csv,28,422,226,217
440,S21A15P7_parsed.csv,255,902,582,560
441,S21A5P15_parsed.csv,40,347,196,187
442,S21A29P13_parsed.csv,31,384,248,162
443,S21A1P2_parsed.csv,196,682,426,446
444,S21A32P16_parsed.csv,2,2,0,4
445,S21A14P20_parsed.csv,99,628,323,396
446,S21A4P14_parsed.csv,132,722,429,419
447,S21A25P1_parsed.csv,101,1140,621,605
448,S21A15P10_parsed.csv,84,846,457,464
449,S21A21P2_parsed.csv,14,286,148,151
450,S21A8P12_parsed.csv,64,664,349,370
451,S21A27P7_parsed.csv,133,955,547,514
452,S21A22P11_parsed.csv,91,776,407,454
453,S21A27P10_parsed.csv,78,642,317,395
454,S21A16P10_parsed.csv,65,478,264,272
455,S21A14P13_parsed.csv,104,718,388,425
456,S21A19P23_parsed.csv,42,746,397,380
457,S21A30P14_parsed.csv,50,401,227,218
458,S21A6P11_parsed.csv,171,413,281,296
459,S21A31P8_parsed.csv,59,450,255,249
460,S21A20P22_parsed.csv,69,705,358,401
461,S21A6P4_parsed.csv,206,713,467,446
462,S21A24P17_parsed.csv,43,520,294,264
463,S21A32P26_parsed.csv,1,14,0,15
464,S21A18P4_parsed.csv,115,975,561,524
465,S21A14P4_parsed.csv,126,629,372,377
466,S21A9P15_parsed.csv,22,453,234,236
467,S21A2P6_parsed.csv,56,384,206,228
468,S21A10P13_parsed.csv,48,502,277,272
469,S21A7P11_parsed.csv,97,622,358,358
470,S21A14P1_parsed.csv,50,578,329,295
471,S21A11P18_parsed.csv,68,782,414,426
472,S21A26P12_parsed.csv,75,711,369,413
473,S21A23P17_parsed.csv,65,497,275,279
474,S21A13P3_parsed.csv,52,488,253,284
475,S21A13P8_parsed.csv,113,290,196,202
476,S21A25P8_parsed.csv,101,971,536,529
477,S21A32P7_parsed.csv,6,82,2,86
478,S21A28P7_parsed.csv,126,942,501,550
479,S21A11P19_parsed.csv,40,472,280,227
480,S21A28P1_parsed.csv,59,925,462,476
481,S21A1P11_parsed.csv,86,309,202,189
482,S21A20P16_parsed.csv,60,602,324,330
483,S21A19P24_parsed.csv,74,695,367,398
484,S21A32P33_parsed.csv,6,35,1,40
485,S21A13P12_parsed.csv,69,649,370,343
486,S21A24P1_parsed.csv,54,518,283,283
487,S21A32P30_parsed.csv,12,64,2,74
488,S21A6P14_parsed.csv,169,772,421,507
489,S21A20P20_parsed.csv,88,762,412,417
490,S21A14P11_parsed.csv,34,476,230,271
491,S21A26P6_parsed.csv,104,715,375,440
492,S21A32P45_parsed.csv,15,93,10,95
493,S21A7P5_parsed.csv,39,585,298,322
494,S21A23P4_parsed.csv,71,716,389,350
495,S21A32P4_parsed.csv,8,51,1,58
496,S21A3P17_parsed.csv,222,563,385,397
497,S21A30P5_parsed.csv,85,609,349,336
498,S21A1P18_parsed.csv,69,1046,532,554
499,S21A12P9_parsed.csv,56,536,275,302
500,S21A15P11_parsed.csv,75,818,408,471
501,S21A5P5_parsed.csv,101,807,465,439
502,S21A20P19_parsed.csv,26,289,154,154
503,S21A16P6_parsed.csv,25,496,256,257
504,S21A11P12_parsed.csv,44,581,333,290
505,S21A6P17_parsed.csv,45,506,264,283
506,S21A21P19_parsed.csv,25,306,157,174
507,S21A32P8_parsed.csv,4,33,0,37
508,S21A31P9_parsed.csv,46,353,215,178
509,S21A14P17_parsed.csv,45,463,259,244
510,S21A21P11_parsed.csv,61,633,344,339
511,S21A28P13_parsed.csv,129,1020,536,594
512,S21A29P8_parsed.csv,118,816,445,480
513,S21A32P31_parsed.csv,7,35,0,42
514,S21A23P9_parsed.csv,89,825,445,447
515,S21A20P5_parsed.csv,69,487,262,284
516,S21A24P20_parsed.csv,116,795,450,424
517,S21A4P4_parsed.csv,55,924,486,487
518,S21A32P49_parsed.csv,7,21,0,28
519,S21A30P9_parsed.csv,63,352,207,203
520,S21A5P1_parsed.csv,265,805,508,556
521,S21A11P15_parsed.csv,39,484,278,239
522,S21A5P16_parsed.csv,193,952,528,607
523,S21A7P7_parsed.csv,68,471,263,270
524,S21A30P2_parsed.csv,44,208,120,125
525,S21A19P22_parsed.csv,44,553,301,294
526,S21A22P8_parsed.csv,77,605,355,322
527,S21A22P13_parsed.csv,100,884,468,509
528,S21A1P7_parsed.csv,74,641,386,322
529,S21A32P44_parsed.csv,21,55,3,71
530,S21A14P10_parsed.csv,108,599,310,390
531,S21A21P3_parsed.csv,96,422,251,260
532,S21A24P19_parsed.csv,23,504,260,262
533,S21A12P13_parsed.csv,63,788,424,419
534,S21A10P6_parsed.csv,99,520,289,324
535,S21A13P4_parsed.csv,141,409,264,282
536,S21A6P19_parsed.csv,8,329,165,167
537,S21A20P24_parsed.csv,78,493,270,289
538,S21A6P1_parsed.csv,159,473,319,306
539,S21A24P9_parsed.csv,62,809,400,462
540,S21A31P3_parsed.csv,78,583,367,293
541,S21A32P6_parsed.csv,17,141,1,141
542,S21A13P6_parsed.csv,92,590,335,342
543,S21A10P8_parsed.csv,71,881,498,449
544,S21A17P9_parsed.csv,138,861,479,514
545,S21A9P7_parsed.csv,30,704,356,373
546,S21A9P20_parsed.csv,36,404,223,214
547,S21A17P18_parsed.csv,96,539,289,334
548,S21A24P18_parsed.csv,43,603,307,334
549,S21A9P14_parsed.csv,23,465,241,243
550,S21A12P1_parsed.csv,108,890,534,454
551,S21A23P11_parsed.csv,118,960,546,521
552,S21A17P15_parsed.csv,151,697,379,461
553,S21A5P13_parsed.csv,79,459,259,276
554,S21A12P3_parsed.csv,54,785,413,414
555,S21A12P14_parsed.csv,106,420,243,279
556,S21A21P8_parsed.csv,41,502,274,260
557,S21A21P12_parsed.csv,92,660,380,370
558,S21A11P3_parsed.csv,21,434,228,212
559,S21A2P9_parsed.csv,70,669,336,397
560,S21A5P10_parsed.csv,53,612,317,344
561,S21A20P17_parsed.csv,19,417,209,222
562,S21A27P2_parsed.csv,95,750,361,475
563,S21A4P7_parsed.csv,156,484,291,349
564,S21A4P9_parsed.csv,99,637,370,361
565,S21A11P17_parsed.csv,71,665,378,349
566,S21A25P5_parsed.csv,163,1129,645,641
567,S21A5P7_parsed.csv,206,683,396,477
568,S21A24P22_parsed.csv,24,434,239,209
569,S21A32P32_parsed.csv,14,92,5,96
570,S21A4P2_parsed.csv,91,692,371,407
571,S21A17P5_parsed.csv,27,548,291,281
572,S21A32P48_parsed.csv,26,124,0,146
573,S21A19P18_parsed.csv,32,258,138,142
574,S21A17P8_parsed.csv,74,579,325,322
575,S21A8P3_parsed.csv,133,1084,593,615
576,S21A24P16_parsed.csv,66,780,450,386
577,S21A9P21_parsed.csv,14,248,127,128
578,S21A13P20_parsed.csv,59,431,242,239
579,S21A4P15_parsed.csv,44,472,260,252
580,S21A12P5_parsed.csv,32,656,336,348
581,S21A14P21_parsed.csv,62,757,384,429
582,S21A3P11_parsed.csv,10,330,175,160
