,AC,Reserved,General,Female,Male
1590,40_S17A40P44_parsed.csv,48,175,104,115
1591,7_S17A7P51_parsed.csv,132,438,288,278
1592,17_S17A17P7_parsed.csv,96,519,309,305
1593,21_S17A21P1_parsed.csv,158,479,324,304
1594,59_S17A59P9_parsed.csv,187,813,528,466
1595,9_S17A9P31_parsed.csv,255,905,598,557
1596,28_S17A28P28_parsed.csv,112,435,261,281
1597,57_S17A57P23_parsed.csv,197,279,238,234
1598,23_S17A23P19_parsed.csv,22,77,43,55
1599,7_S17A7P56_parsed.csv,31,94,50,73
1600,34_S17A34P13_parsed.csv,33,247,152,121
1601,1_S17A1P41_parsed.csv,118,513,323,303
1602,3_S17A3P25_parsed.csv,95,483,269,305
1603,3_S17A3P18_parsed.csv,158,412,291,272
1604,48_S17A48P21_parsed.csv,95,282,179,195
1605,9_S17A9P32_parsed.csv,170,615,418,366
1606,35_S17A35P1_parsed.csv,47,383,207,215
1607,35_S17A35P31_parsed.csv,40,305,167,174
1608,38_S17A38P55_parsed.csv,104,344,240,208
1609,39_S17A39P8_parsed.csv,83,258,172,169
1610,7_S17A7P41_parsed.csv,92,247,177,153
1611,20_S17A20P52_parsed.csv,52,99,71,79
1612,41_S17A41P8_parsed.csv,54,266,159,154
1613,49_S17A49P1_parsed.csv,67,299,140,222
1614,45_S17A45P19_parsed.csv,50,102,89,59
1615,3_S17A3P6_parsed.csv,160,780,467,466
1616,59_S17A59P36_parsed.csv,50,126,90,82
1617,46_S17A46P27_parsed.csv,123,209,158,168
1618,45_S17A45P25_parsed.csv,29,108,67,70
1619,58_S17A58P32_parsed.csv,322,468,375,412
1620,4_S17A4P86_parsed.csv,34,245,137,137
1621,46_S17A46P24_parsed.csv,147,349,230,260
1622,31_S17A31P17_parsed.csv,52,406,227,224
1623,53_S17A53P23_parsed.csv,43,62,52,53
1624,30_S17A30P32_parsed.csv,17,93,52,58
1625,32_S17A32P17_parsed.csv,51,352,183,213
1626,40_S17A40P41_parsed.csv,220,763,488,479
1627,5_S17A5P11_parsed.csv,67,546,302,307
1628,53_S17A53P20_parsed.csv,172,261,204,225
1629,4_S17A4P89_parsed.csv,187,588,347,425
1630,50_S17A50P2_parsed.csv,189,232,202,213
1631,46_S17A46P21_parsed.csv,246,518,391,372
1632,6_S17A6P55_parsed.csv,123,375,266,231
1633,20_S17A20P34_parsed.csv,23,65,41,47
1634,37_S17A37P28_parsed.csv,198,387,290,290
1635,30_S17A30P26_parsed.csv,55,189,119,124
1636,4_S17A4P47_parsed.csv,243,659,465,434
1637,20_S17A20P40_parsed.csv,254,661,453,461
1638,8_S17A8P20_parsed.csv,160,537,355,336
1639,59_S17A59P5_parsed.csv,183,673,409,445
1640,38_S17A38P31_parsed.csv,153,388,291,247
1641,39_S17A39P2_parsed.csv,98,195,156,137
1642,8_S17A8P18_parsed.csv,102,425,289,235
1643,25_S17A25P18_parsed.csv,39,161,106,91
1644,54_S17A54P19_parsed.csv,201,355,299,252
1645,60_S17A60P27_parsed.csv,114,135,122,123
1646,43_S17A43P19_parsed.csv,13,53,30,36
1647,4_S17A4P4_parsed.csv,83,425,252,254
1648,2_S17A2P23_parsed.csv,152,498,330,316
1649,19_S17A19P9_parsed.csv,65,373,213,222
1650,40_S17A40P56_parsed.csv,211,568,245,527
1651,3_S17A3P16_parsed.csv,148,859,469,518
1652,40_S17A40P13_parsed.csv,12,54,29,37
1653,40_S17A40P5_parsed.csv,12,99,60,51
1654,36_S17A36P10_parsed.csv,53,371,207,205
1655,35_S17A35P22_parsed.csv,56,250,144,156
1656,60_S17A60P21_parsed.csv,62,168,104,122
1657,24_S17A24P18_parsed.csv,150,641,369,422
1658,39_S17A39P39_parsed.csv,119,303,216,206
1659,38_S17A38P19_parsed.csv,205,505,360,350
1660,52_S17A52P8_parsed.csv,101,334,204,227
1661,20_S17A20P46_parsed.csv,29,84,53,57
1662,56_S17A56P27_parsed.csv,94,425,256,255
1663,34_S17A34P11_parsed.csv,68,476,276,268
1664,16_S17A16P5_parsed.csv,77,375,234,214
1665,47_S17A47P17_parsed.csv,29,124,75,75
1666,45_S17A45P21_parsed.csv,132,485,259,348
1667,60_S17A60P19_parsed.csv,423,740,475,672
1668,16_S17A16P27_parsed.csv,92,422,271,238
1669,18_S17A18P19_parsed.csv,137,822,463,482
1670,52_S17A52P29_parsed.csv,186,601,388,387
1671,37_S17A37P4_parsed.csv,194,501,357,334
1672,50_S17A50P51_parsed.csv,85,203,140,147
1673,38_S17A38P43_parsed.csv,139,288,194,226
1674,6_S17A6P57_parsed.csv,113,332,225,218
1675,39_S17A39P38_parsed.csv,147,370,246,271
1676,25_S17A25P2_parsed.csv,102,337,239,192
1677,36_S17A36P29_parsed.csv,25,212,120,116
1678,8_S17A8P1_parsed.csv,167,834,511,466
1679,40_S17A40P45_parsed.csv,214,423,304,333
1680,46_S17A46P22_parsed.csv,227,664,456,425
1681,60_S17A60P60_parsed.csv,51,68,59,60
1682,2_S17A2P13_parsed.csv,270,728,509,486
1683,32_S17A32P26_parsed.csv,62,543,308,292
1684,53_S17A53P19_parsed.csv,117,339,216,235
1685,4_S17A4P18_parsed.csv,68,364,208,220
1686,58_S17A58P2_parsed.csv,178,290,235,226
1687,52_S17A52P27_parsed.csv,64,233,157,132
1688,19_S17A19P13_parsed.csv,15,77,53,39
1689,12_S17A12P23_parsed.csv,66,270,158,172
1690,40_S17A40P39_parsed.csv,164,260,222,199
1691,20_S17A20P4_parsed.csv,63,324,178,205
1692,44_S17A44P20_parsed.csv,102,308,203,204
1693,58_S17A58P33_parsed.csv,214,271,228,254
1694,4_S17A4P70_parsed.csv,98,525,314,298
1695,18_S17A18P37_parsed.csv,88,514,304,296
1696,2_S17A2P16_parsed.csv,47,270,120,197
1697,16_S17A16P3_parsed.csv,138,734,446,425
1698,42_S17A42P17_parsed.csv,99,375,248,223
1699,2_S17A2P64_parsed.csv,124,364,260,228
1700,34_S17A34P4_parsed.csv,23,231,121,133
1701,57_S17A57P25_parsed.csv,16,47,28,34
